,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
29,"After questioning Mark Zuckerberg, Senator Graham told reporters that he thought the Facebook CEO was “like Jell-O”… https://t.co/T9F061mH2H",CNN,Tue Apr 10 20:47:12 +0000 2018,-0.1027,0.0,0.076,0.924,30
30,The White House just let slip a big secret about the possibility of firing Robert Mueller | Analysis by… https://t.co/L4h4LPvDD1,CNN,Tue Apr 10 20:43:28 +0000 2018,-0.34,0.0,0.124,0.876,31
31,The right's insane sliming of David Hogg | By Jill Filipovic via @CNNOpinion https://t.co/KZovIX0L6I https://t.co/vENpv089UK,CNN,Tue Apr 10 20:39:38 +0000 2018,-0.4019,0.0,0.172,0.828,32
32,"After a brief recess, Facebook CEO Mark Zuckerberg continues to testify before Congress https://t.co/310VEWUDqZ
Wat… https://t.co/cJsFXrbtag",CNN,Tue Apr 10 20:37:20 +0000 2018,0.0,0.0,0.0,1.0,33
33,"A 12-year-old video showing a sheriff discussing the cost of inmate and suspect deaths, versus keeping them alive,… https://t.co/npWvBbq84O",CNN,Tue Apr 10 20:37:02 +0000 2018,-0.296,0.0,0.121,0.879,34
34,A woman died after being given formaldehyde instead of saline https://t.co/IfR9k8BL2u https://t.co/Nh1RBQ7dt2,CNN,Tue Apr 10 20:33:17 +0000 2018,-0.5574,0.0,0.265,0.735,35
35,"""We've seen the apology tours before."" Sen. Richard Blumenthal has staffers stand behind him and hold up a sign tha… https://t.co/m9otTfXHfP",CNN,Tue Apr 10 20:32:04 +0000 2018,0.0516,0.059,0.0,0.941,36
36,"Facebook stock finished the day with a 4.5% gain, a seeming sign of confidence in Zuckerberg from Wall Street… https://t.co/UWFv4R8CKY",CNN,Tue Apr 10 20:25:37 +0000 2018,0.7717,0.295,0.0,0.705,37
37,Why the Parkland crisis continues to resonate | By John Heubusch via @CNNOpinion https://t.co/cWRcjWafzA https://t.co/CDvWuqmcZ0,CNN,Tue Apr 10 20:20:51 +0000 2018,-0.6249,0.0,0.24,0.76,38
38,Zuckerberg says he's totally behind this piece of legislation that would disclose political ads… https://t.co/O1dmbGVk4l,CNN,Tue Apr 10 20:19:05 +0000 2018,0.0,0.0,0.0,1.0,39
39,"Just four days after a bus crash killed 15 people, including 10 young hockey players, a GoFundMe to help the victim… https://t.co/U3BEKhnjSN",CNN,Tue Apr 10 20:15:09 +0000 2018,-0.6705,0.1,0.268,0.632,40
40,Is Zuckerberg under oath right now? The answer is no. https://t.co/TO4Wh4J8ss https://t.co/CxIFRNr1km,CNN,Tue Apr 10 20:14:06 +0000 2018,-0.296,0.0,0.167,0.833,41
41,Russia has vetoed a US draft resolution at the UN Security Council that would have established an independent inves… https://t.co/AN6lVg9UGN,CNN,Tue Apr 10 20:10:22 +0000 2018,0.34,0.118,0.0,0.882,42
