,Tweets,Name,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
29,RT @BBCTwo: Two tiger brothers enjoy their first swimming lesson. 🐯💦 #NationalSiblingsDay https://t.co/qiyB4N5EYr,BBC,Tue Apr 10 15:18:36 +0000 2018,0.4939,0.211,0.0,0.789,30
30,"RT @AboutTheBBC: Today @englishheritage unveiled a blue plaque to former BBC Director-General Sir Hugh Carleton Greene. A great moderniser,…",BBC,Tue Apr 10 14:34:14 +0000 2018,0.6249,0.204,0.0,0.796,31
31,"🖼🎨 From Velázquez to van Gogh, explore 5 masterpieces of European painting. 
👉 https://t.co/wRpdRNUuz5 https://t.co/EVrV6Iat8H",BBC,Tue Apr 10 13:00:36 +0000 2018,0.5423,0.226,0.0,0.774,32
32,🎥 The nasty side of social media. https://t.co/rKpSRqqjkd,BBC,Tue Apr 10 12:00:17 +0000 2018,-0.5574,0.0,0.375,0.625,33
33,🐶💅 The rise of 'extreme dog pampering' puts the welfare of pets in jeopardy and 'sends out an extremely worrying me… https://t.co/WTUIFUxaat,BBC,Tue Apr 10 11:00:18 +0000 2018,-0.6997,0.0,0.225,0.775,34
34,"RT @cbbc: This is cute, you two! 😍

@nikkilillyy &amp; @jemmawilson talk cakes and being a goth 💜 https://t.co/LcF6T8F9d6",BBC,Tue Apr 10 10:16:15 +0000 2018,0.5093,0.18,0.0,0.82,35
35,"RT @BBCBreakfast: Meet 'The Man Engine'. 
He's a tribute to our mining history. ⛏  #manengine https://t.co/sa6ykd3uUT",BBC,Tue Apr 10 10:12:47 +0000 2018,0.0,0.0,0.0,1.0,36
36,"Iceland is to stop using palm oil in own-brand products by the end of 2018.
👉 https://t.co/jyQura5jVB https://t.co/K6HGJDMxrL",BBC,Tue Apr 10 09:44:17 +0000 2018,-0.296,0.0,0.121,0.879,37
37,"RT @bbcwritersroom: .@BBCR1 have just launched a new #comedy podcast called Kench with Ray Moss - No Stone Unturned by @benpartridge 
We ca…",BBC,Tue Apr 10 09:34:46 +0000 2018,-0.1779,0.066,0.097,0.837,38
38,"RT @BBC6Music: Listen back to @RobertSmith’s exclusive interview about:
🖤 40 years of @TheCure
👄 Inviting @RollingStones to play @meltdownf…",BBC,Tue Apr 10 09:05:51 +0000 2018,0.6369,0.292,0.0,0.708,39
39,RT @BBC6Music: Tonight from 7-9pm BST: Cillian Murphy sits in for @IggyPop. Here he is on how @tomwaits is helping to inspire his new role.…,BBC,Tue Apr 10 09:05:17 +0000 2018,0.7096,0.204,0.0,0.796,40
40,🎮 This video game has been designed to help people deal with grief. https://t.co/tmRibTCet4,BBC,Tue Apr 10 08:01:08 +0000 2018,-0.128,0.16,0.189,0.651,41
41,"🐸 Nine new species have been found where few scientists have gone before.
👉 https://t.co/EfvR9rqTNt https://t.co/qhInJevOTU",BBC,Tue Apr 10 07:27:02 +0000 2018,0.0,0.0,0.0,1.0,42
42,🏊 Women's only swimming sessions are more important than you think. https://t.co/yPZyqsIktB,BBC,Tue Apr 10 07:01:02 +0000 2018,0.2716,0.173,0.0,0.827,43
43,"In this five-part immersive living history series, the training programme of one of World War Two's most covert org… https://t.co/WMq4ME93CR",BBC,Mon Apr 09 19:01:07 +0000 2018,-0.5994,0.0,0.17,0.83,44
44,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/bJp258jCaL",BBC,Mon Apr 09 18:04:06 +0000 2018,-0.0772,0.0,0.064,0.936,45
45,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3",BBC,Mon Apr 09 17:02:07 +0000 2018,0.7184,0.273,0.0,0.727,46
46,"RT @BBCScotland: The history behind #NationalUnicornDay 🦄

*may not be factually accurate* https://t.co/p44XmIXnoM",BBC,Mon Apr 09 16:43:45 +0000 2018,0.0,0.0,0.0,1.0,47
47,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… 🌆🏙🙃 https://t.co/U…,BBC,Mon Apr 09 16:34:07 +0000 2018,0.0,0.0,0.0,1.0,48
48,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉… https://t.co/guqD0Pf53R",BBC,Mon Apr 09 16:26:04 +0000 2018,0.0,0.0,0.0,1.0,49
49,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU,BBC,Mon Apr 09 16:04:04 +0000 2018,0.6239,0.506,0.0,0.494,50
50,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,BBC,Mon Apr 09 15:42:30 +0000 2018,0.4003,0.144,0.0,0.856,51
51,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",BBC,Mon Apr 09 15:29:26 +0000 2018,0.5411,0.189,0.0,0.811,52
