,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
29,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ,CBS,Sun Apr 08 18:38:13 +0000 2018,0.5562,0.146,0.0,0.854,30
30,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme",CBS,Sun Apr 08 15:00:00 +0000 2018,0.4199,0.108,0.0,0.892,31
31,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k,CBS,Sat Apr 07 19:35:08 +0000 2018,0.6696,0.183,0.0,0.817,32
32,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H,CBS,Sat Apr 07 18:28:03 +0000 2018,0.0,0.0,0.0,1.0,33
33,What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn,CBS,Sat Apr 07 16:30:02 +0000 2018,0.3612,0.106,0.0,0.894,34
34,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7",CBS,Sat Apr 07 15:31:12 +0000 2018,0.0,0.0,0.0,1.0,35
35,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX,CBS,Fri Apr 06 21:10:18 +0000 2018,0.0,0.0,0.0,1.0,36
36,What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e,CBS,Fri Apr 06 17:00:00 +0000 2018,0.0,0.0,0.0,1.0,37
37,Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM,CBS,Fri Apr 06 13:45:00 +0000 2018,0.0,0.0,0.0,1.0,38
38,How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa,CBS,Thu Apr 05 21:44:00 +0000 2018,0.5859,0.194,0.0,0.806,39
39,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh",CBS,Thu Apr 05 19:07:48 +0000 2018,0.6597,0.241,0.0,0.759,40
40,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton J… https://t.co/bqse7nhkV3",CBS,Thu Apr 05 17:00:00 +0000 2018,-0.3875,0.074,0.157,0.769,41
41,Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dro… https://t.co/cilUdkKtjQ,CBS,Wed Apr 04 22:07:01 +0000 2018,0.807,0.313,0.0,0.687,42
42,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! 😂

Introducing Laughing To Pieces! Foll…",CBS,Wed Apr 04 21:48:07 +0000 2018,0.7568,0.288,0.0,0.712,43
43,"RT @YoungSheldon: Don't miss guest star @Followtheblonde in tomorrow's all-new #YoungSheldon! Trust us, you're going to love every minute.…",CBS,Wed Apr 04 21:47:26 +0000 2018,0.8495,0.366,0.0,0.634,44
44,RT @MomCBS: Tomorrow's episode of #Mom is going to be a doggone good one! https://t.co/e1WI3uOxVg,CBS,Wed Apr 04 21:46:13 +0000 2018,0.4926,0.197,0.0,0.803,45
45,RT @survivorcbs: There's a lot at stake when competing for actual steak. Get a glimpse at an all-new #Survivor: Ghost Island at 8/7c on CBS…,CBS,Wed Apr 04 21:44:17 +0000 2018,-0.3182,0.0,0.095,0.905,46
46,RT @TVLine: #LifeInPieces Sneak Peek: Sophia and Her Stuffed Toys Stage a Musical Protest https://t.co/r16SLZlZPc,CBS,Wed Apr 04 18:02:13 +0000 2018,-0.25,0.0,0.133,0.867,47
47,Whose catchy tune will take Song Of The Year at the 53rd #ACMawards? Give it up for the four nominees -… https://t.co/R9MtUNZtsw,CBS,Tue Apr 03 23:00:00 +0000 2018,0.0,0.0,0.0,1.0,48
48,"Here's everything you need to know before tuning into Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday,… https://t.co/C8fiKl4j98",CBS,Tue Apr 03 21:00:02 +0000 2018,0.0,0.0,0.0,1.0,49
49,"In just one week, @eltonofficial and today's hottest stars in music will join together to celebrate Elton's countle… https://t.co/ACQGHNWz8u",CBS,Tue Apr 03 18:00:00 +0000 2018,0.7096,0.258,0.0,0.742,50
50,Tonight we #LightItUpBlue for greater understanding and acceptance. CBS supports #WorldAutismAwarenessDay by lighti… https://t.co/hBAXcDvP4r,CBS,Tue Apr 03 05:17:01 +0000 2018,0.7906,0.421,0.0,0.579,51
51,No one does it quite like @eltonofficial. The artist himself will belt out some of his chart-topping hits on Elton… https://t.co/ckY4bUvTXI,CBS,Mon Apr 02 17:30:00 +0000 2018,0.1513,0.116,0.092,0.792,52
52,The Las Vegas strip is about to light up brighter than ever before when Country Music’s Party Of The Year® takes ov… https://t.co/j1A2ZVHAoO,CBS,Sun Apr 01 17:00:03 +0000 2018,0.6486,0.202,0.0,0.798,53
53,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI",CBS,Sat Mar 31 18:00:00 +0000 2018,0.0,0.0,0.0,1.0,54
54,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2,CBS,Sat Mar 31 15:30:00 +0000 2018,0.4199,0.113,0.0,0.887,55
55,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP,CBS,Fri Mar 30 16:50:00 +0000 2018,0.4926,0.127,0.0,0.873,56
56,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv",CBS,Thu Mar 29 17:32:40 +0000 2018,0.0,0.0,0.0,1.0,57
57,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R",CBS,Thu Mar 29 17:30:02 +0000 2018,0.0,0.0,0.0,1.0,58
58,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,CBS,Tue Mar 27 21:00:01 +0000 2018,0.3818,0.212,0.108,0.68,59
59,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj,CBS,Tue Mar 27 17:00:00 +0000 2018,0.296,0.099,0.0,0.901,60
60,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",CBS,Mon Mar 26 22:14:25 +0000 2018,0.508,0.12,0.0,0.88,61
61,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",CBS,Mon Mar 26 20:42:48 +0000 2018,0.0,0.0,0.0,1.0,62
62,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,CBS,Mon Mar 26 16:59:19 +0000 2018,0.7959,0.214,0.0,0.786,63
63,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj",CBS,Mon Mar 26 16:05:18 +0000 2018,0.807,0.378,0.0,0.622,64
64,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs,CBS,Sun Mar 25 23:57:34 +0000 2018,0.0,0.0,0.0,1.0,65
65,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR,CBS,Sun Mar 25 17:15:25 +0000 2018,0.5319,0.157,0.062,0.78,66
66,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,CBS,Sat Mar 24 22:46:53 +0000 2018,0.5399,0.199,0.0,0.801,67
67,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest,CBS,Sat Mar 24 22:46:43 +0000 2018,-0.34,0.115,0.185,0.7,68
68,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",CBS,Sat Mar 24 22:25:03 +0000 2018,0.7003,0.209,0.0,0.791,69
69,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜,CBS,Sat Mar 24 22:21:37 +0000 2018,0.0,0.0,0.0,1.0,70
70,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",CBS,Sat Mar 24 22:21:34 +0000 2018,0.0,0.0,0.0,1.0,71
71,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",CBS,Sat Mar 24 22:21:26 +0000 2018,0.7184,0.333,0.0,0.667,72
72,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,CBS,Sat Mar 24 22:21:23 +0000 2018,0.9451,0.42,0.0,0.58,73
73,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x",CBS,Sat Mar 24 20:00:02 +0000 2018,0.0,0.0,0.0,1.0,74
74,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,CBS,Fri Mar 23 22:33:52 +0000 2018,0.6996,0.194,0.0,0.806,75
75,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,CBS,Fri Mar 23 22:33:04 +0000 2018,0.4939,0.314,0.0,0.686,76
76,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",CBS,Fri Mar 23 22:32:48 +0000 2018,0.8997,0.355,0.0,0.645,77
77,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,CBS,Thu Mar 22 22:10:29 +0000 2018,0.0,0.0,0.0,1.0,78
78,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,CBS,Thu Mar 22 20:52:02 +0000 2018,0.7081,0.311,0.066,0.623,79
79,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,CBS,Thu Mar 22 00:23:38 +0000 2018,0.636,0.198,0.0,0.802,80
80,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,CBS,Wed Mar 21 18:00:01 +0000 2018,0.0,0.0,0.0,1.0,81
81,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,CBS,Tue Mar 20 20:00:01 +0000 2018,0.5106,0.142,0.0,0.858,82
82,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,CBS,Tue Mar 20 17:58:43 +0000 2018,0.0,0.0,0.0,1.0,83
