,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
29,".@Facebook CEO Mark Zuckerberg testifies before Congress in the wake of a data privacy scandal. 

Live blog:… https://t.co/xNe5pu66re",Fox News,Tue Apr 10 20:33:53 +0000 2018,-0.4404,0.0,0.153,0.847,30
30,"""No""

Mark #Zuckerberg responds to @SenatorDurbin's questions on if he would feel comfortable sharing with the comm… https://t.co/0APyWC8mQZ",Fox News,Tue Apr 10 20:15:56 +0000 2018,0.7269,0.276,0.0,0.724,31
31,"Mark #Zuckerberg on Facebook’s terms of service: We can always do better, and the services are complex…I think for… https://t.co/4hXP6HGVYj",Fox News,Tue Apr 10 20:08:20 +0000 2018,0.4404,0.132,0.0,0.868,32
32,"Mark #Zuckerberg: “My position is not that there should be no regulation…I think the real question, as the internet… https://t.co/pUyQ1FpmGf",Fox News,Tue Apr 10 19:59:44 +0000 2018,-0.296,0.0,0.104,0.896,33
33,"RT @FoxBusiness: .@LindseyGrahamSC: ""You don't think you have a monopoly?""

Zuckerberg: ""It certainly doesn't feel like that to me."" https:…",Fox News,Tue Apr 10 19:56:49 +0000 2018,0.0747,0.112,0.098,0.79,34
34,"""I know we're working with [the special counsel].""

Mark #Zuckerberg confirms @facebook has been working with speci… https://t.co/KfuyW7jsiv",Fox News,Tue Apr 10 19:48:55 +0000 2018,0.4019,0.137,0.0,0.863,35
35,Mark #Zuckerberg: “I think everyone in the world deserves good privacy protection.” https://t.co/Il5feaxDRW https://t.co/ILgTZtpBf2,Fox News,Tue Apr 10 19:46:34 +0000 2018,0.4404,0.182,0.0,0.818,36
36,Mark Zuckerberg: “There will always be a version of Facebook that is free.” https://t.co/OHxw1bMM93,Fox News,Tue Apr 10 19:40:41 +0000 2018,0.0,0.0,0.0,1.0,37
37,"Mark Zuckerberg: “After the 2016 election, our top priority was protecting the integrity of other elections around… https://t.co/livEyBm3x2",Fox News,Tue Apr 10 19:35:31 +0000 2018,0.5267,0.216,0.0,0.784,38
38,Mark Zuckerberg: “One of my greatest regrets in running the company is that we were slow in identifying the Russian… https://t.co/xIjGH1kPIW,Fox News,Tue Apr 10 19:33:19 +0000 2018,0.4019,0.163,0.097,0.739,39
