,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
41,"Zuckerberg is expected to tell Congress, “It was my mistake, and I’m sorry. I started Facebook, I run it and I’m re… https://t.co/opF4ezMQNj",The New York Times,Tue Apr 10 18:36:53 +0000 2018,-0.4019,0.0,0.163,0.687,42
42,"Watch live: Mark Zuckerberg, Facebook's chief, is about to testify to Congress on why his company failed to protect… https://t.co/tCFhrtGSXk",The New York Times,Tue Apr 10 18:33:48 +0000 2018,-0.5106,0.0,0.148,0.712,43
43,2 of the ways the U.S. could respond to fresh reports of a chemical weapons attack in Syria would have little effec… https://t.co/NI04BOdexx,The New York Times,Tue Apr 10 18:30:08 +0000 2018,-0.5719,0.087,0.228,0.634,44
44,RT @kevinroose: Someone came to the hearing dressed as a Russian troll. https://t.co/ZdPEK9MDne,The New York Times,Tue Apr 10 18:17:46 +0000 2018,0.0,0.0,0.0,0.803,45
45,Mark Zuckerberg will be clad in a suit and tie at his hearing. He will also have a booster seat to help give his te… https://t.co/6o4AseMQ2h,The New York Times,Tue Apr 10 18:16:12 +0000 2018,0.4019,0.105,0.0,0.905,46
46,"""You may be asking yourself: What kind of sociopath complains about ice cream sundaes? I just know that when I see… https://t.co/Scp1lrmZ5j",The New York Times,Tue Apr 10 18:10:07 +0000 2018,-0.3818,0.0,0.12,0.867,47
47,A Facebook page that claimed a connection to Black Lives Matter and had more than twice as many followers as the mo… https://t.co/vswTey0l1v,The New York Times,Tue Apr 10 17:55:05 +0000 2018,0.0258,0.052,0.0,1.0,48
48,Most of the White House staff in this swearing-in photo has left the Trump administration https://t.co/MvygghIpO7,The New York Times,Tue Apr 10 17:40:06 +0000 2018,0.0,0.0,0.0,1.0,49
49,"Also this morning, some people woke up to a Facebook notification that their private messages might have been harve… https://t.co/W1d21jJWXP",The New York Times,Tue Apr 10 17:27:14 +0000 2018,0.0,0.0,0.0,0.742,50
50,"In bad timing for Mark Zuckerberg, Senator Chris Coons, a Democratic member of the Judiciary Committee, today found… https://t.co/irY9Uf2oAS",The New York Times,Tue Apr 10 17:25:04 +0000 2018,-0.5423,0.0,0.171,0.579,51
51,How professional sports teams make money off cheerleaders by sending them into settings where they're harassed https://t.co/A6MS4SEW44,The New York Times,Tue Apr 10 17:10:07 +0000 2018,-0.3182,0.106,0.169,0.792,52
52,It’s a one-pan wonder and can be made on the fly https://t.co/NfCbu8IGdn https://t.co/MZioBSqGML,The New York Times,Tue Apr 10 16:55:04 +0000 2018,0.0,0.0,0.0,0.798,53
53,"On Tuesday, Facebook announced it would begin offering a “data abuse bounty” program to reward people who report in… https://t.co/uYGZYFQfqT",The New York Times,Tue Apr 10 16:42:59 +0000 2018,-0.128,0.149,0.169,1.0,54
54,"They are some of the first known Facebook users targeted by Cambridge Analytica to be publicly identified, and they… https://t.co/4y614GyHB8",The New York Times,Tue Apr 10 16:40:09 +0000 2018,0.0,0.0,0.0,0.887,55
55,Breaking News: FBI agents who raided the office of President Trump’s lawyer sought records of payments to 2 women w… https://t.co/FzYOveos1H,The New York Times,Tue Apr 10 16:27:20 +0000 2018,0.0,0.0,0.0,0.873,56
56,"In @NYTOpinion,

Op-Ed Contributor Lilly Ledbetter and namesake of the Lilly Ledbetter Fair Pay Act writes, ""I have… https://t.co/I5hOahpwzl",The New York Times,Tue Apr 10 16:25:07 +0000 2018,0.2263,0.111,0.068,1.0,57
57,"Deputy Attorney General Rod Rosenstein signed off on the FBI raid of Trump’s lawyer's office, a move that has enrag… https://t.co/IKo68xis5V",The New York Times,Tue Apr 10 16:10:06 +0000 2018,0.0,0.0,0.0,1.0,58
58,Read the letter from the 2 Democratic senators who say they have obtained an EPA assessment about security spending… https://t.co/G2eF5E6PTA,The New York Times,Tue Apr 10 15:50:00 +0000 2018,0.34,0.118,0.0,0.68,59
59,Senator Sheldon Whitehouse claims to have a document disputing Scott Pruitt's need for costly travel and other secu… https://t.co/QSlamqZR7g,The New York Times,Tue Apr 10 15:40:11 +0000 2018,-0.4767,0.0,0.204,0.901,60
60,"RT @palafo: Three ballparks. Fourteen presidential administrations. Now at 99, Phil Coyne is retiring from his job as a Pittsburgh Pirates…",The New York Times,Tue Apr 10 15:30:09 +0000 2018,0.0,0.0,0.0,0.88,61
61,Expect a long afternoon: 44 senators will participate in the hearing and have been promised 4 minutes each of quest… https://t.co/EsfubjRXLi,The New York Times,Tue Apr 10 15:27:06 +0000 2018,0.3612,0.122,0.0,1.0,62
62,Greeting Mark Zuckerberg on Tuesday in front of the U.S. Capitol are dozens of cardboard cutouts of his own image s… https://t.co/eBfB1LF0Eq,The New York Times,Tue Apr 10 15:20:09 +0000 2018,0.3818,0.11,0.0,0.786,63
63,"Another exit from the White House: Thomas Bossert, the homeland security adviser, is leaving. It’s a sign John Bolt… https://t.co/tvcHeK5WMk",The New York Times,Tue Apr 10 15:10:08 +0000 2018,0.34,0.118,0.0,0.622,64
64,"""You have to find the music that your horse likes"" https://t.co/FmrtJYsPpZ",The New York Times,Tue Apr 10 15:00:11 +0000 2018,0.4215,0.219,0.0,1.0,65
65,"Is the Brooklyn-Queens streetcar dead? At the very least it’s languishing, 2 years after the mayor presented it as… https://t.co/oEwBXc1l1w",The New York Times,Tue Apr 10 14:50:08 +0000 2018,-0.6486,0.0,0.193,0.78,66
66,"Last week, after frustrated activists from Myanmar sent an open letter to Mark Zuckerberg, the chief executive of F… https://t.co/dCsumnFFZJ",The New York Times,Tue Apr 10 14:40:13 +0000 2018,-0.5267,0.0,0.152,0.801,67
67,"To hear climate denialists tell it, polar bears are doing just fine https://t.co/vuT4LUDVbV",The New York Times,Tue Apr 10 14:30:17 +0000 2018,0.2023,0.13,0.0,0.7,68
68,The 2 Reuters journalists were investigating a massacre of 10 Muslim Rohingya men https://t.co/ndwqQfno1H,The New York Times,Tue Apr 10 14:15:06 +0000 2018,0.0,0.0,0.0,0.791,69
69,Robert Mueller is investigating a payment made to President Trump's foundation by a Ukrainian steel magnate for a t… https://t.co/Ik8xqvkVTG,The New York Times,Tue Apr 10 14:00:04 +0000 2018,0.0,0.0,0.0,1.0,70
70,"In Opinion

Op-Ed contributor Mark Penn writes that Facebook and other major internet platforms should stop pretend… https://t.co/q6bhBDPcYZ",The New York Times,Tue Apr 10 13:45:09 +0000 2018,-0.296,0.0,0.115,1.0,71
71,Breaking: President Trump will skip his planned trip to Latin America this week to oversee the American response to… https://t.co/nJo2PjDKLt,The New York Times,Tue Apr 10 13:31:02 +0000 2018,0.0,0.0,0.0,0.667,72
72,"“Perhaps if you truly want to understand a drawing, you have to just eat it.”
https://t.co/1n5OgCsnMz",The New York Times,Tue Apr 10 13:30:18 +0000 2018,0.4939,0.244,0.0,0.58,73
73,"At least 5 people were killed when a single-engine plane crashed onto a golf course in Scottsdale, Arizona on Monda… https://t.co/YghkhyTBxu",The New York Times,Tue Apr 10 13:21:49 +0000 2018,-0.6705,0.0,0.209,1.0,74
74,Morning Briefing: Here's what you need to know to start your day https://t.co/Ap1ttJrPe6 https://t.co/FFFryxmbxc,The New York Times,Tue Apr 10 13:00:16 +0000 2018,0.0,0.0,0.0,0.806,75
75,"“If someone got too handsy, we could just turn around and leave. But we still had to be gracious and say, ‘Thank yo… https://t.co/Vi1EG5mL0Y",The New York Times,Tue Apr 10 13:00:15 +0000 2018,0.5267,0.134,0.045,0.686,76
76,"We speak to our little dogs much more lovingly than we do to our little boys, a clinical psychologist writes. How c… https://t.co/SCheTFOl3K",The New York Times,Tue Apr 10 12:45:08 +0000 2018,0.6697,0.176,0.0,0.645,77
77,"Volkswagen is considering replacing its chief executive, who took over after the company admitted in 2015 to cheati… https://t.co/yXPd1npFgT",The New York Times,Tue Apr 10 12:31:00 +0000 2018,0.1027,0.072,0.0,1.0,78
78,"Want a pet python? Consider that many reptiles and amphibians — perhaps most, depending on the species — were illeg… https://t.co/VspTJVObmm",The New York Times,Tue Apr 10 12:30:10 +0000 2018,0.0772,0.071,0.0,0.623,79
79,Here are five things to watch as Mark Zuckerberg makes his much-anticipated appearance before members of Congress t… https://t.co/BhetrPzttu,The New York Times,Tue Apr 10 12:15:02 +0000 2018,0.0,0.0,0.0,0.802,80
80,"Your daily @DealBook briefing: 

• In his prepared testimony, Mark Zuckerberg apologized for not doing more to stop… https://t.co/x8lDqTblR5",The New York Times,Tue Apr 10 12:00:14 +0000 2018,0.4939,0.208,0.0,1.0,81
81,"Through memes and apparel, white supremacists have found new ways to drum up racist sentiment, harking back to colo… https://t.co/d6lj7VYhyY",The New York Times,Tue Apr 10 11:44:55 +0000 2018,-0.7184,0.0,0.25,0.858,82
82,"Her uncle has become active in alt-right causes, posting offensive material about minorities, immigrants and women… https://t.co/tI2m0bx0pR",The New York Times,Tue Apr 10 11:33:46 +0000 2018,-0.0772,0.13,0.145,1.0,83
83,Stephen Colbert and other late-night hosts focused on a news story that united two topics: the Russia investigation… https://t.co/43P4KWejzI,The New York Times,Tue Apr 10 11:15:06 +0000 2018,0.6597,0.252,0.0,0.826,84
84,"The F.B.I. raided the home of President Trump’s personal lawyer, Michael D. Cohen. What are investigators looking f… https://t.co/6eBGpWhk4t",The New York Times,Tue Apr 10 11:00:16 +0000 2018,0.0,0.0,0.0,1.0,85
85,"Supporters of the streetcar, an ambitious project known as the Brooklyn Queens Connector that would run from Astori… https://t.co/mZlz2ANbu6",The New York Times,Tue Apr 10 11:00:15 +0000 2018,0.7184,0.261,0.0,0.619,86
86,President Trump said Syria’s patrons in Russia and Iran may also be responsible for enabling last weekend’s chemica… https://t.co/aOnIrpkV99,The New York Times,Tue Apr 10 11:00:06 +0000 2018,0.3182,0.113,0.0,1.0,87
87,President Trump called the F.B.I. raid a “disgraceful situation” and an “attack on our country in a true sense” https://t.co/Iql98fyfw7,The New York Times,Tue Apr 10 10:30:11 +0000 2018,0.4215,0.141,0.0,0.787,88
88,"Read the transcript of President Trump's remarks about the F.B.I. raid on his lawyer's office, Syria and more https://t.co/FfypkAWfkz",The New York Times,Tue Apr 10 10:21:05 +0000 2018,0.0,0.0,0.0,0.92,89
89,Morning Briefing: Here's what you need to know to start your day https://t.co/BUTfuzACSR https://t.co/oZMsRt4RdI,The New York Times,Tue Apr 10 10:00:10 +0000 2018,0.0,0.0,0.0,1.0,90
90,"Broccoli salads are a dime a dozen, but this one is a game-changing celebration of flavors, colors and textures https://t.co/pHT90h9yT9",The New York Times,Tue Apr 10 09:43:17 +0000 2018,0.0,0.0,0.0,0.839,91
91,"A smart city comes with risks: “Once you’ve given a developer license to deploy total surveillance, with no public… https://t.co/mAtIKLcL2x",The New York Times,Tue Apr 10 09:24:51 +0000 2018,-0.1531,0.123,0.195,0.753,92
92,RT @nytopinion: The Sinclair Broadcast Group does not practice the news principles that they preach. https://t.co/e2ZQ8AtfIX,The New York Times,Tue Apr 10 09:06:59 +0000 2018,0.0,0.0,0.0,0.896,93
93,"The Australian agriculture minister said he was ""shocked and gutted"" after footage showed thousands of sheep dying… https://t.co/JogoHlHqJo",The New York Times,Tue Apr 10 08:50:05 +0000 2018,-0.3182,0.0,0.119,1.0,94
94,"Yulia Skripal has been released from a hospital in England five weeks after she and her father, a former Russian sp… https://t.co/IqR84TuqgI",The New York Times,Tue Apr 10 08:49:33 +0000 2018,0.0,0.0,0.0,0.822,95
95,"RT @nytimesworld: Millions of people in China are sharing the story of Gao Yan, a student who committed suicide in 1998 after friends say s…",The New York Times,Tue Apr 10 08:45:06 +0000 2018,0.3612,0.246,0.138,0.763,96
96,"RT @kimseverson: I spoke with Eddie Hernandez about his new cookbook. “In Mexico,"" he said, ""we eat what we like and don’t worry about what…",The New York Times,Tue Apr 10 08:32:42 +0000 2018,-0.1027,0.091,0.106,0.766,97
97,“Something that started decades ago and was applauded and inoffensive is now politically incorrect. What can you do… https://t.co/2EDwm5KchB,The New York Times,Tue Apr 10 08:15:10 +0000 2018,0.3612,0.122,0.0,0.806,98
98,Adelaide is rebranding itself as an innovation center for Australia — and the world. Will it work? https://t.co/AcjeJhX98i,The New York Times,Tue Apr 10 08:15:05 +0000 2018,0.3818,0.14,0.0,0.734,99
99,"President Trump reacted angrily to the FBI’s raid on his personal lawyer’s office, calling it “disgraceful” and an… https://t.co/mafGzkCVMR",The New York Times,Tue Apr 10 08:02:02 +0000 2018,-0.4215,0.0,0.135,0.781,100
